,NOC,score,gen_ave,"Adjusted net enrollment rate, primary, female (% of primary school age children",Adolescent fertility rate (Adjusted),"Fertility rate, total (Adjusted)","Labor force, female (% of total labor force)","Literacy rate, adult female (% of females ages 15 and above)","Life expectancy at birth, female (years)","Expected years of schooling, female","Primary education, pupils (% female)"
323,SVK_2004,2.2413793,61.88072,NA,97.91472,87.5,45.41884,NA,77.8,14.16349,48.48729
324,SVK_2008,5.7435897,62.00354,NA,97.85818,86.6,44.73777,NA,78.7,15.5332,48.59211
325,SVK_2010,5.375,61.87708,NA,97.79694,85.7,44.78416,NA,78.8,15.63909,48.54228
326,SVK_2012,3.4285714,62.14633,NA,97.7357,86.6,44.56416,NA,79.9,15.54974,48.52836
327,SVK_2014,2.7702703,62.20402,NA,97.76034,86.3,44.74204,NA,80.5,15.37335,48.54841
328,SWE_1992,6.0108303,61.44616,NA,98.863,79.1,47.62816,NA,80.78,13.54875,48.75702
329,SWE_1994,3.7281553,62.3593,NA,99.0292,81.2,47.33778,NA,81.37,16.20438,49.01446
330,SWE_1996,12.6214286,63.08302,NA,99.1954,84,47.57489,NA,81.52,17.19571,49.01214
331,SWE_1998,7.7837838,63.84581,NA,99.29498,85,47.22407,NA,81.9,20.13063,49.52517
332,SWE_2000,10.9756098,68.92873,99.10266,99.32794,84.6,47.68288,NA,82,20.46148,49.32616
333,SWE_2002,22.0697674,68.7945,99.30805,99.3609,83.5,47.72011,NA,82.1,20.18292,49.38952
334,SWE_2004,9.1463415,67.74945,96.60185,99.37606,82.5,47.60739,NA,82.7,16.8356,48.62528
335,SWE_2006,81.4526316,67.35118,94.94789,99.39122,81.5,47.45784,NA,82.9,16.59393,48.66738
336,SWE_2008,4.0416667,67.73369,98.11687,99.41078,80.9,47.42911,NA,83.2,16.51291,48.56617
337,SWE_2010,30.4347826,67.79718,99.05308,99.43474,80.2,47.12953,NA,83.5,16.70412,48.55878
338,SWE_2012,9.2727273,68.01418,99.50038,99.4587,80.9,47.43969,NA,83.6,16.58443,48.61604
339,SWE_2014,31.2380952,68.82361,99.82782,99.46566,81.2,47.51407,NA,84.2,19.53446,50.02324
340,SWE_2016,110.4864865,78.18078,NA,99.47262,81.5,47.6505,NA,84.1,NA,NA
